Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Weight Unit,Cost per item,SEO Title,SEO Description,Status
quilt-kit,Custom Quilt Kit,"<p>A made-to-order patchwork quilt kit designed in the metime studio. Every kit ships with pre-measured Kona cotton for the top, backing, and binding, plus batting and a printed cutting and assembly guide matched to your design. Choose your finished size below.</p>",metime,Arts & Crafts,Quilt Kit,"quilt,kit,made-to-order",FALSE,Size,Mug Rug (8 x 10 in),QK-MUGRUG,250,,,deny,manual,24.00,,TRUE,TRUE,g,10.00,Custom Quilt Kits - Made-to-Order Patchwork | metime,"Design your own patchwork quilt and order a made-to-order kit with pre-cut Kona cotton, batting, and step-by-step instructions. Sizes from mug rug to king.",draft
quilt-kit,,,,,,,,Size,Mini (18 x 24 in),QK-MINI,350,,,deny,manual,39.00,,TRUE,TRUE,g,16.00,,,draft
quilt-kit,,,,,,,,Size,Stroller (30 x 36 in),QK-STROLLER,550,,,deny,manual,69.00,,TRUE,TRUE,g,29.00,,,draft
quilt-kit,,,,,,,,Size,Baby (36 x 52 in),QK-BABY,800,,,deny,manual,99.00,,TRUE,TRUE,g,46.00,,,draft
quilt-kit,,,,,,,,Size,Crib (40 x 60 in),QK-CRIB,950,,,deny,manual,125.00,,TRUE,TRUE,g,56.00,,,draft
quilt-kit,,,,,,,,Size,Lap / Throw (52 x 65 in),QK-THROW,1250,,,deny,manual,169.00,,TRUE,TRUE,g,76.00,,,draft
quilt-kit,,,,,,,,Size,Twin (65 x 90 in),QK-TWIN,1950,,,deny,manual,269.00,,TRUE,TRUE,g,123.00,,,draft
quilt-kit,,,,,,,,Size,Full (80 x 90 in),QK-FULL,2350,,,deny,manual,325.00,,TRUE,TRUE,g,149.00,,,draft
quilt-kit,,,,,,,,Size,Queen (90 x 108 in),QK-QUEEN,2950,,,deny,manual,409.00,,TRUE,TRUE,g,189.00,,,draft
quilt-kit,,,,,,,,Size,King (108 x 108 in),QK-KING,3550,,,deny,manual,499.00,,TRUE,TRUE,g,228.00,,,draft
cross-stitch-kit,Custom Cross-Stitch Kit,"<p>A made-to-order cross-stitch kit charted in the metime studio. Each kit includes 14-count Aida cloth cut to size, a size 24 tapestry needle, the DMC floss skeins your design calls for, and a printed chart with full-color legend and instructions. Choose your project size below.</p>",metime,Arts & Crafts,Cross-Stitch Kit,"cross-stitch,kit,made-to-order,DMC",FALSE,Size,Coaster (approx 2.9 x 2.9 in),XSK-COASTER,150,,,deny,manual,18.00,,TRUE,TRUE,g,7.00,Custom Cross-Stitch Kits - DMC Floss & Aida | metime,"Chart your own cross-stitch pattern and order a complete kit with 14-count Aida, DMC floss, a needle, and a full-color chart. Sizes from coaster to large.",draft
cross-stitch-kit,,,,,,,,Size,Bookmark (approx 2.1 x 8.6 in),XSK-BOOKMARK,160,,,deny,manual,22.00,,TRUE,TRUE,g,8.00,,,draft
cross-stitch-kit,,,,,,,,Size,Greeting Card (approx 4.3 x 5.7 in),XSK-CARD,170,,,deny,manual,24.00,,TRUE,TRUE,g,9.00,,,draft
cross-stitch-kit,,,,,,,,Size,Small Hoop (fits 5 in hoop),XSK-SMHOOP,200,,,deny,manual,28.00,,TRUE,TRUE,g,10.00,,,draft
cross-stitch-kit,,,,,,,,Size,Sampler (approx 7.1 x 7.1 in),XSK-SAMPLER,250,,,deny,manual,34.00,,TRUE,TRUE,g,12.00,,,draft
cross-stitch-kit,,,,,,,,Size,Medium Hoop (fits 8 in hoop),XSK-MDHOOP,300,,,deny,manual,42.00,,TRUE,TRUE,g,15.00,,,draft
cross-stitch-kit,,,,,,,,Size,Portrait (approx 10 x 12.9 in),XSK-PORTRAIT,380,,,deny,manual,52.00,,TRUE,TRUE,g,19.00,,,draft
cross-stitch-kit,,,,,,,,Size,Large (approx 14.3 x 14.3 in),XSK-LARGE,500,,,deny,manual,65.00,,TRUE,TRUE,g,24.00,,,draft
quilt-pattern-pdf,Custom Quilt Pattern (PDF),"<p>The digital version of your metime quilt design: a print-at-home PDF with the full cutting list, fabric yardage, color placement diagram, and step-by-step assembly instructions. No physical materials included &mdash; delivered as a downloadable file.</p>",metime,Arts & Crafts,Digital Pattern,"quilt,pattern,digital,pdf",FALSE,Format,Digital download,QP-PDF,0,,,deny,manual,12.00,,FALSE,TRUE,g,0.00,Custom Quilt Pattern PDF - Cutting List & Diagram | metime,"Download your custom metime quilt pattern as a print-at-home PDF with cutting list, fabric yardage, color placement diagram, and full assembly instructions.",draft
cross-stitch-pattern-pdf,Custom Cross-Stitch Pattern (PDF),"<p>The digital version of your metime cross-stitch design: a print-at-home PDF chart with a full-color symbol legend, DMC floss list, stitch count, and finished-size guide. No physical materials included &mdash; delivered as a downloadable file.</p>",metime,Arts & Crafts,Digital Pattern,"cross-stitch,pattern,digital,pdf",FALSE,Format,Digital download,XSP-PDF,0,,,deny,manual,9.00,,FALSE,TRUE,g,0.00,Custom Cross-Stitch Pattern PDF Chart | metime,"Download your custom metime cross-stitch chart as a print-at-home PDF with full-color symbol legend, DMC floss list, stitch count, and finished-size guide.",draft
